Performance Statistics   2021-12-03 11:30:00 - 2021-12-03 11:32:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
df$SimpleDoc.edit.cardProcFrame.cardRolesFrame@procRolesDs        58,0          58          58         0,0           1
df$SimpleDoc.edit.cardProcFrame@procDs                  37,0          37          37         0,0           1
df$SimpleDoc.edit.cardProjectsFrame#init                25,0          25          25         0,0           1
df$SimpleDoc.edit.cardProjectsFrame#inject               3,0           3           3         0,0           1
df$SimpleDoc.edit.cardProjectsFrame#load                 6,0           6           6         0,0           1
df$SimpleDoc.edit.cardTreeFrame#init                     6,0           6           6         0,0           1
df$SimpleDoc.edit.cardTreeFrame#inject                   2,0           2           2         0,0           1
df$SimpleDoc.edit.cardTreeFrame#load                    45,0          45          45         0,0           1
df$SimpleDoc.edit.cardTreeFrame@cardTreeDs               0,0           0           0         0,0           1
df$SimpleDoc.edit.docOfficeFrame#init                    0,0           0           0         0,0           1
df$SimpleDoc.edit.docOfficeFrame#inject                  3,0           3           3         0,0           1
df$SimpleDoc.edit.docOfficeFrame#load                 1157,0        1157        1157         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame#init         0,0           0           0         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame#inject         5,0           5           5         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame#load      1125,0        1125        1125         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame.addresseesFrame#init         0,0           0           0         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame.addresseesFrame#inject         5,0           5           5         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame.addresseesFrame#load         9,0           9           9         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame@companiesDs         8,0           8           8         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame@contactPersonsDs        11,0          11          11         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame@correspondentsDs         7,0           7           7         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame@docReceivingMethodsDs        22,0          22          22         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame@employeeExecutorsDs        10,0          10          10         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame@numeratorsDs         6,0           6           6         0,0           1
df$SimpleDoc.edit.docOfficeFrame.docOfficeDataFrame@officeFilesDs        58,5          40         108        28,6           4
df$SimpleDoc.edit.docTransferLogFrame#init               0,0           0           0         0,0           1
df$SimpleDoc.edit.docTransferLogFrame#inject             2,0           2           2         0,0           1
df$SimpleDoc.edit.docTransferLogFrame#load              29,0          29          29         0,0           1
df$SimpleDoc.edit.header#init                            0,0           0           0         0,0           1
df$SimpleDoc.edit.header#inject                          0,0           0           0         0,0           1
